Complexity,Loss,Equation
1,2941.1755,"136.25229"
3,2499.0837,"vy * 15.119109"
4,1789.22,"square(y) + 104.47684"
5,111.008835,"(vy + x) * 11.061426"
7,69.938705,"((vy + x) + -1.581555) * 12.4721985"
8,0.5166069,"(square(vy + x) * 0.49615473) + 49.49523"
10,9.9593525e-9,"50.00006 + (0.5000006 * square((0.9809974 * x) + vy))"
11,9.953909e-9,"0.5000006 * (square(vy + (x * 0.9809974)) + square(vx))"
12,9.952337e-9,"((square(vy + (x * 0.9809974)) + 6.628359e-6) * 0.5000006) + 50.00006"
13,9.940528e-9,"0.5000006 * (square(vx) + (square((x * 0.9809974) + vy) + 8.49871e-6))"
14,7.763649e-9,"50.00006 + (((0.5000006 + x) - x) * square((0.9809974 * x) + vy))"
17,3.9857273e-9,"(square(vx) + square(vy + ((x * 0.98099756) - ((vx + vy) * 1.6398508e-6)))) * 0.50000197"
19,2.3772664e-9,"(square(vx + -3.5232143) + (-1.2363374 + (vx * 0.92876273))) + (square(vy + (x * 0.98099875)) * 0.5000002)"
20,1.3655969e-9,"(square((x * 0.9809974) + (vy - (-2.3569443e-7 * (-2.5179172 - square(x - vx))))) + square(vx)) * 0.500001"
22,9.578609e-10,"0.500001 * (square(vx) + square(((x * 0.9809974) + vy) - (-2.3569443e-7 * ((x - vy) - square(x - vx)))))"
24,8.0583556e-10,"(square(((x - ((((-0.30990994 - vy) + 2.232706) - square(vx - x)) * -2.3569443e-7)) * 0.9809974) + vy) + square(vx)) * 0.500001"
26,7.665338e-10,"0.500001 * (square((0.9809974 * (x - (-2.3569443e-7 * (((x - (vy + y)) - square(vx - x)) + 1.1327155)))) + vy) + square(vx))"
28,7.378054e-10,"0.500001 * (square(vx) + square((0.9809974 * (x - (-2.3569443e-7 * (0.500001 + ((x - (vy + y)) - (square(vx - x) + -1.4649005)))))) + vy))"
29,7.331982e-10,"0.500001 * (square((0.9809974 * (x - (-2.3569443e-7 * (((x - (vy + y)) - square(vx - x)) + square(1.1327155 + 0.35875592))))) + vy) + square(vx))"
