Complexity,Loss,Equation
1,304.84152,"-42.341038"
3,102.519806,"vy * -4.898223"
5,11.622641,"(vy * -3.3521743) - 17.019527"
7,1.0222311,"((vy * -3.6574807) - x) + -9.76084"
9,0.06637796,"(x * -1.4036539) + ((vy - -1.8067962) * -3.7807176)"
11,0.06637769,"(x * -1.4037027) + (((vy - -1.9619688) * -3.7807326) - -0.5871801)"
12,0.02585964,"((square(x) * -0.039771996) - ((-1.9964119 - vy) * -3.778266)) - x"
13,0.01924343,"((((x * -0.029286273) + -1.1137482) * x) - (vy * 3.7811518)) - 7.3020225"
16,0.013521058,"(x * -1.4704647) - ((-1.7068521 - vy) * ((square(x - 6.153047) * -0.002337594) + -3.7582765))"
20,0.0093509685,"(x * -1.4539336) - (((y * 0.006410859) - ((square(x - 7.417193) * -0.0024648318) + -3.6900117)) * (vy - -1.7740858))"
21,0.007684208,"(x * -1.461565) - (((square(x - 12.573276) * -0.0011206587) + -3.661476) * ((square(y) * -0.002112053) - (vy - -1.7397294)))"
23,0.0075607537,"(x * -1.4632852) - (((square(x - 7.426381) * -0.0022040894) + -3.7195303) * ((square(vy * x) * -2.3464372e-5) - (vy - -1.7413199)))"
24,0.007560753,"(x * -1.4632852) - (((square(x - 7.426381) * -0.0022040894) + -3.7195303) * (((square(vy) * square(x)) * -2.3464372e-5) - (vy - -1.7413199)))"
25,0.007335566,"(x * -1.4649147) - (((square((vy * x) - x) * -2.6810416e-5) - (vy - -1.7369354)) * ((square(x - 7.380558) * -0.0021826753) + -3.7226353))"
27,0.007318744,"(x * -1.4637069) - (((square(7.3807917 - x) * -0.0021731814) + -3.7225766) * ((square(x + (vy * (0.08713219 - x))) * -2.7660195e-5) - (vy - -1.7392106)))"
29,0.0070670852,"(x * -1.4632652) - (((square(7.381922 - x) * -0.002108301) + -3.7273324) * ((square(x - ((x - (vy * 0.045508474)) * vy)) * -2.9264125e-5) - (vy - -1.7341212)))"
