Complexity,Loss,Equation
1,2941.1755,"136.24615"
3,2499.0837,"vy * 15.118717"
4,1789.22,"square(y) + 104.47684"
5,111.008835,"(x + vy) * 11.061383"
7,69.9387,"((vy + x) - 1.5815836) * 12.472235"
8,0.5166094,"(square(vy + x) - -99.7495) * 0.49616742"
10,4.4511398e-11,"((y * 9.81) + (square(vy) * 0.5)) + 50.0"
12,4.256581e-11,"(((y * 9.81) + -7.7326856) + (square(vy) * 0.5)) + 57.732685"
14,4.145113e-11,"(((vx + -9.5) * square(vy)) + ((y * 9.809999) + -9.666362)) + 59.666363"
16,4.0266606e-11,"((square(vy) * 0.5) + ((y * 4.109933) + ((y * 5.700067) - 55.069748))) + 105.06975"
20,3.990717e-11,"(((square(vy) * 0.5) + (((y * 6.677559) + -51.95805) - (y * -3.132441))) + (vx - 41.52016)) + 133.47821"
22,3.9482258e-11,"(((((y * 6.677554) + -51.95805) - (y * -3.1324458)) + (square(vy) * (vx + -9.5))) + (vx - 41.52016)) + 133.47821"
