Complexity,Loss,Equation
1,9.680386,"-5.560958"
4,5.8313165,"cos(theta) * -7.168934"
6,4.747372,"square(theta * omega) + -7.1212063"
7,3.685125,"(cos(theta) * -7.1662855) - cos(omega)"
9,2.4128185e-13,"(cos(theta) + (square(omega) * -0.0509684)) * -9.81"
11,1.7786427e-13,"(((square(omega) * -0.0509684) + cos(theta)) + 2.9852345e-8) * -9.809999"
13,1.6823138e-13,"(((square(omega) * -0.050968397) + (cos(theta) + -0.029569665)) * -9.81) + -0.29007825"
14,1.5462517e-13,"((square(omega) * 0.5) + (cos(theta) * -1.9242496)) + (cos(theta) * -7.8857503)"
16,1.4703836e-13,"((cos(theta - 5.8802996e-8) * -1.9242496) + (square(omega) * 0.5)) + (cos(theta) * -7.8857503)"
19,1.4694741e-13,"((square(omega) * 0.5) + (cos((cos(theta) * 6.8691705e-8) - theta) * -1.9242496)) + (cos(theta) * -7.8857503)"
20,1.4687387e-13,"((square(omega) * 0.5) + (cos(theta - (cos(square(theta)) * 6.8570664e-8)) * -1.9242496)) + (cos(theta) * -7.8857503)"
21,1.4673638e-13,"((square(omega) * 0.5) + (cos(theta - (square(cos(square(theta))) * 6.8570664e-8)) * -1.9242496)) + (cos(theta) * -7.8857503)"
22,1.458764e-13,"((square(omega) * 0.5) + (cos(theta - ((theta * square(cos(theta))) * 1.9217107e-7)) * -1.9427953)) + (cos(theta) * -7.8672047)"
23,1.4577551e-13,"((square(omega) * 0.5) + (cos(theta - (theta * (square(square(cos(theta))) * 2.0719295e-7))) * -1.9427953)) + (cos(theta) * -7.8672047)"
27,1.4527954e-13,"((square(omega) * 0.5) + (cos(theta - (cos(theta - square((1.1958919 - theta) * cos(theta))) * 8.361979e-8)) * -1.9427953)) + (cos(theta) * -7.8672047)"
29,1.4517154e-13,"((square(omega) * 0.5) + (cos(theta - (cos((theta - square((1.1958919 - theta) * cos(theta))) - -0.0822778) * 8.361979e-8)) * -1.9427953)) + (cos(theta) * -7.8672047)"
30,1.4508911e-13,"(cos(theta) * -7.8672047) + ((square(omega) * 0.5) + (cos((cos(cos(square(theta + 2.3502004)) - ((cos(theta) - theta) * 1.2478681)) * 8.535967e-8) - theta) * -1.9427953))"
