Complexity,Loss,Equation
1,10.786668,"2.010269"
2,8.36788,"square(omega)"
4,0.8004021,"square(omega) * 0.5765474"
6,0.41062173,"(square(omega) * 0.6613684) + -0.83272994"
7,0.2503127,"(square(omega) * 0.5138084) - cos(omega)"
8,0.23300408,"square(omega * 0.81511825) - cos(square(theta))"
9,0.19590938,"((square(omega) * 0.54549897) - cos(omega)) + -0.31110692"
10,0.10533286,"((square(omega) - cos(theta)) * 0.56202084) - cos(omega)"
11,0.0658903,"((square(omega) - cos(square(theta))) * 0.5644261) - cos(omega)"
12,0.024101196,"(((square(theta) + square(omega)) * 0.5593159) - cos(omega)) + -0.63394886"
13,0.015331565,"((square(omega) * 0.56353116) - cos(omega)) + cos(square(theta) + -2.4730031)"
14,0.009765922,"((square(omega) * 0.56062865) + (square(theta * 0.8786949) - cos(omega))) + -0.73981726"
16,0.009556881,"((square(theta) * 0.7719944) + ((square(omega) + -1.3192512) * 0.56068647)) - cos(omega - -0.020641308)"
18,0.0075099287,"(0.5584591 * ((((square(theta) * 1.3782002) + square(omega)) + -0.54596573) - cos(cos(omega)))) - cos(omega)"
19,0.0070811175,"((((square(omega) + square(theta)) + -0.5333944) - (cos(cos(omega)) * cos(theta))) * 0.5589033) - cos(omega)"
20,0.006387964,"(((square(theta) * 1.3782434) + ((-0.9659431 - cos(1.0895437 - cos(omega))) - cos(omega))) + square(omega)) * 0.5602647"
21,0.005185562,"((((square(omega) + square(theta)) + -0.47659746) - (cos(theta) * cos(0.24444573 - cos(omega)))) * 0.5477369) - cos(omega)"
22,0.0051378906,"((((square(theta) + square(omega)) + -0.45093018) - (cos(theta) * cos(cos(cos(omega) - -1.2766756)))) * 0.5516618) - cos(omega)"
23,0.0033695702,"(((square(theta) * 1.2960397) + ((square(omega) + -0.48261333) - cos(0.64652854 - (cos(theta) - cos(omega))))) * 0.54855967) - cos(omega)"
25,0.0025479102,"(((square(omega) + -0.6979986) + (square(theta * 1.1469222) - (cos((cos(theta) + -0.650592) - cos(omega)) * 0.7443518))) * 0.55194235) - cos(omega)"
26,0.0023309968,"(((square(omega) + square(theta * 1.1536374)) + (-0.7648163 - (cos((square(cos(theta)) - cos(omega)) + -0.5343349) * 0.67787224))) * 0.552467) - cos(omega)"
27,0.0013798681,"(square(theta * 0.9257312) + -0.28412604) + ((square(omega * 0.74588025) - cos(cos((omega * theta) * 0.30674088) - cos(omega))) - (cos(omega) * 0.3819009))"
29,0.00087062817,"(square(omega * 0.7458972) - cos(cos(omega) - cos(((theta * 0.31127748) * omega) + 0.06973693))) + ((square(theta * 0.9256694) + -0.28204152) - (cos(omega) * 0.38371068))"
