Complexity,Loss,Equation
1,304.84152,"-42.341076"
3,102.519806,"vy * -4.898223"
5,11.622641,"-17.019865 - (vy * 3.352122)"
7,1.0222311,"((vy * -3.657474) - x) + -9.760905"
9,0.066377945,"(x * -1.4037149) + ((vy * -3.7807395) + -6.83038)"
10,0.022055892,"(-3.7796056 * vy) - square((x * -0.19050862) + -2.729471)"
12,0.019246034,"((vy * -3.7808468) - square((x * 0.17096362) + 3.257378)) + 3.305018"
13,0.019243432,"((vy * -3.781136) + (((x * -0.02929422) - 1.1136451) * x)) + -7.3023725"
15,0.019243242,"(((x * -0.029289423) - 1.1137198) * x) + (((vy * -3.7811465) + -5.985589) - 1.3166517)"
16,0.016324028,"(7.5397344 + ((-3.8130825 + (x * 0.0057947794)) * vy)) - square((x * 0.15878241) + 3.7996907)"
17,0.0142475255,"((-6.509424 - ((1.49645 - (y * -0.024835698)) * x)) + (vy * -3.847416)) + (y * 0.29843646)"
18,0.010783059,"(y * 0.25599563) + (((x * ((square(y) * -0.0013911031) - 1.5606818)) + (vy * -3.8495052)) - 6.384974)"
20,0.010529959,"((vy * -3.8503485) - 6.3775578) + ((y * 0.2570699) + (x * ((square(y - -0.8361933) * -0.0012517396) - 1.554377)))"
21,0.007996984,"((y * 0.24807784) + (vy * -3.8325007)) + (-6.701111 - (((square(y) + square(x)) * 0.012330756) - (x * -1.418157)))"
23,0.007996922,"(y * 0.24807803) + (((vy * -3.832501) + (-7.7208605 - (((square(y) + square(x)) * 0.012330752) - (x * -1.418157)))) - -1.0197493)"
25,0.007812365,"((vy * -4.0421333) - (((square(y) + square(x * 1.2258178)) * 0.010406029) - (x * -1.3709134))) + (-6.777063 + ((vy + y) * 0.21493816))"
27,0.007799372,"(((vy + y) * 0.2235768) + -6.763792) + ((vy * -4.052526) - ((((square(y) + square(x * 1.1674124)) * 0.010863655) - (x * -1.3835993)) - 0.011206054))"
29,0.0074244062,"(y * 1.4977707) + ((square(y) * -0.021128254) + ((((vy * -3.9871583) + ((x - ((-0.0053874524 * square(vy)) + 5.704987)) - y)) - (x * 1.7287558)) - x))"
