Complexity,Loss,Equation
1,10.786668,"2.0101354"
2,8.36788,"square(omega)"
4,0.8004021,"square(omega) * 0.5765474"
6,0.41062173,"(square(omega) * 0.6613679) + -0.8327242"
7,0.2503127,"square(omega * 0.7168025) - cos(omega)"
8,0.19379586,"(cos(omega * -0.53956145) * -6.6456566) + 5.3736906"
10,0.10533286,"((square(omega) - cos(theta)) * 0.56202084) - cos(omega)"
11,0.020650232,"(cos(omega * -0.5408584) * (square(theta) + -7.071178)) + 5.2942452"
12,0.01681064,"(cos(omega * -0.53064615) * -6.9266853) + (6.3880024 - cos(square(theta)))"
13,0.009174001,"((cos(omega * -0.5230729) * -7.06352) + 5.3858905) + square(theta * -0.8774371)"
15,0.009146799,"(cos((omega - -0.0020370649) * 0.5234817) * -7.0562415) + (square(theta * 0.87738806) + 5.378111)"
16,0.0070092264,"(square(cos(omega * -0.28955576) * theta) + (cos(omega * -0.5437882) * -6.9058104)) + 5.099013"
17,0.0069326875,"square(cos(theta * -0.28955576)) * ((square(theta) + (cos(omega * -0.5437882) * -6.9058104)) + 5.099013)"
18,0.004311368,"((cos(omega * 0.53618604) * -6.967292) + (cos(omega * 0.32983497) * square(theta * 0.93531775))) + 5.226645"
20,0.0042714146,"5.226331 + ((cos((omega * 0.33056343) + -0.021012558) * square(theta * 0.9355933)) + (-6.9670286 * cos(omega * 0.53621393)))"
21,0.0039911987,"(square(theta) + (cos(((cos(cos(theta)) - 2.351583) + cos(omega)) * -0.6507966) * -1.9511629)) + (square(omega) * 0.5517718)"
22,0.0018059452,"(cos(cos(omega) - 1.241504) * -1.3302344) + ((((square(omega) * 0.5586302) + square(theta)) + -0.40687805) * cos(theta * -0.41177526))"
23,0.0017713604,"(square(cos(theta * 0.29467553)) * ((square(omega) * 0.55860466) + (square(theta) + -0.39921486))) + (cos(cos(omega) - 1.2358783) * -1.3346587)"
24,0.0014483803,"(square(theta * 0.9375568) + (((square(omega) * 0.5556243) + (cos(1.2497754 - cos(omega)) * -1.3463389)) + -0.3878056)) * cos(theta * -0.3419586)"
26,0.0012546154,"(square(theta * 0.93747365) + ((-0.3887905 + (-1.3458208 * cos(1.2507854 - cos(omega + 0.017952347)))) + (0.5556924 * square(omega)))) * cos(theta * 0.34188253)"
28,0.0009378128,"cos((theta + (omega * 0.02680655)) * 0.346477) * (((cos(1.2503829 - cos(omega)) * -1.3463995) + ((square(omega) * 0.5560174) + -0.38911122)) + square(theta * 0.9382528))"
30,0.00091901247,"((((cos(cos(omega) - 1.2504109) * -1.346622) + (square(omega) * 0.55600554)) + -0.3890302) + square(theta * -0.9383055)) * cos((((omega + 0.596195) * 0.026522912) + theta) * 0.34657034)"
