Complexity,Loss,Equation
1,2941.1755,"136.25552"
3,2499.0837,"vy * 15.118955"
4,1789.22,"square(y) + 104.47684"
5,111.008835,"(vy + x) * 11.061438"
7,69.9387,"((x + vy) + -1.5814654) * 12.472109"
8,0.5166069,"(square(x + vy) * 0.49615508) + 49.49511"
10,0.5138786,"(square(vy + (x + -0.0806222)) * 0.49928126) + 49.95215"
11,4.9063236e-11,"((vy * (vy * 0.5)) + (y * 9.81)) + 50.0"
13,4.4501212e-11,"((vy * (vy * 0.5)) + ((y * vx) * 0.981)) + 50.0"
14,4.3801265e-11,"(((y * square(vx)) * 0.0981) + ((vy * vy) * 0.5)) + 50.0"
15,4.305184e-11,"(((y * 9.809999) + -6.835902) - ((vy * vy) * -0.5)) + (vx + 46.835903)"
16,4.2864122e-11,"(((square(vx) * y) * 0.0981) - (((vy * vy) * -0.5) + 0.0013580482)) + 50.001358"
17,4.2657485e-11,"(((vy * 0.5) * vy) + ((y * (vx * (vx - 1.3147849))) * 0.11295057)) + 50.0"
18,4.188914e-11,"((((y * square(vx)) * 0.0981) - (((vy * -0.5) * vy) + -8.77098)) + 31.229021) + vx"
20,4.137255e-11,"vx + (((((y * square(vx)) * 0.0981) - (((vy * vy) * -0.5) + -3.263503)) + vx) + 26.736498)"
24,4.124013e-11,"x + ((vx - x) + (((((y * square(vx)) * 0.0981) - (((vy * vy) * -0.5) + -1.9114219)) + vx) + 28.08858))"
