Complexity,Loss,Equation
1,2941.1755,"136.26027"
3,2499.0837,"vy * 15.118668"
4,1789.22,"square(y) + 104.476875"
5,111.008835,"(vy + x) * 11.061434"
7,69.938705,"((x + vy) - 1.5813891) * 12.472036"
8,0.516607,"(square(vy + x) * 0.49615452) + 49.49528"
10,4.7849606e-11,"((y * 9.81) - (square(vy) * -0.5)) + 50.0"
11,4.5873458e-11,"((vy * (vy * 0.5)) - (y * -9.81)) + 50.0"
12,4.3468024e-11,"((y * 9.81) - ((square(vy) * -0.5) - -10.585652)) + 60.58565"
13,4.3041654e-11,"((((vy * vy) * 0.5) + -0.2950001) - (y * -9.81)) + 50.295"
15,4.3030014e-11,"(43.263535 - ((y * -9.81) + ((vy * (vy * -0.5)) + -3.2631357))) + 3.473328"
16,4.166359e-11,"(((y * 7.81) + (-29.006561 + (y + y))) - (square(vy) * -0.5)) + 79.00656"
17,4.0662418e-11,"((vy * (vy * 0.5)) + ((-43.110703 - (y * -4.6675725)) - (y * -5.1424274))) + 93.1107"
21,3.963214e-11,"(((vy * (0.5 * vy)) + ((y + y) + (-51.947933 - (y * -7.81)))) - -7.8782616) + (104.06967 - vx)"
23,3.947207e-11,"((((vy * 0.5) * vy) + ((-51.947933 - (y * -7.81)) + ((y + -4.90701e-7) + y))) - -7.8782616) + (104.06967 - vx)"
25,3.8980215e-11,"(104.06967 - vx) + ((((-51.947933 - (-7.81 * y)) + ((y + (vy * -4.297591e-8)) + y)) + (vy * (0.5 * vy))) - -7.8782616)"
26,3.895839e-11,"(((vy * (vy * 0.5)) + ((((square(vy) * -4.0341233e-9) + y) + y) + (-51.947933 - (y * -7.81)))) - -7.8782616) + (104.06967 - vx)"
27,3.8938016e-11,"(104.06967 - vx) + ((((vy * 0.5) * vy) + ((-51.947933 - (y * -7.81)) + ((y + ((vy + 0.2668888) * -4.3104425e-8)) + y))) - -7.8782616)"
28,3.887544e-11,"(((vy * (vy * 0.5)) + ((-51.947933 - (y * -7.81)) + (((square(vy + -1.8237412) * -5.310445e-9) + y) + y))) - -7.8782616) + (104.06967 - vx)"
