Complexity,Loss,Equation
1,9.680386,"-5.560958"
4,5.8313165,"cos(theta) * -7.1689334"
6,4.747372,"square(omega * theta) + -7.120982"
7,3.685125,"(cos(theta) * -7.1662836) - cos(omega)"
9,2.4128185e-13,"((square(omega) * 0.0509684) - cos(theta)) * 9.81"
11,1.8989084e-13,"((square(omega) * 1.5993065) - (cos(theta) * 31.378393)) * 0.3126355"
15,1.8918253e-13,"(((square(omega) * 1.6012325) - ((-0.0 - cos(theta)) * -31.416182)) * 0.31225947) - 8.205867e-8"
16,1.8738444e-13,"(((square(omega) * 1.6012325) - (cos(theta) * 31.416182)) - square(omega * 0.00018111465)) * 0.31225947"
18,1.8732597e-13,"(((square(omega) * 1.6012325) - ((-0.0 - cos(theta)) * -31.416182)) - square(omega * 0.00017889896)) * 0.31225947"
20,1.8727709e-13,"(((square(omega) * 1.6012325) - ((omega - omega) - (cos(theta) * -31.416182))) - square(omega * -0.00019131668)) * 0.31225947"
22,1.8718284e-13,"(((square(omega) * 1.6012325) - (0.0 - (cos(theta) * -31.416182))) - square((omega + (omega * 0.1167212)) * -0.00017271622)) * 0.31225947"
24,1.8714673e-13,"(((square(omega) * 1.6012325) - ((omega - omega) - (cos(theta) * -31.416182))) - square(((omega * 0.11212806) + omega) * 0.00017271622)) * 0.31225947"
30,1.871401e-13,"(((square(omega) * 1.6012325) - ((omega - omega) - (cos(theta) * -31.416182))) - square((omega + ((0.1167212 - ((theta + -31.416182) * -0.0001407094)) * omega)) * 0.00017271517)) * 0.31225947"
