Complexity,Loss,Equation
1,2941.1755,"136.25491"
3,2499.0837,"vy * 15.118714"
4,1789.22,"square(y) + 104.48353"
5,111.008835,"(vy + x) * 11.061444"
7,69.93866,"((vy + x) + -1.58147) * 12.472116"
8,0.5166069,"(square(vy + x) * 0.4961548) + 49.495296"
10,4.4889748e-11,"((y * 9.81) + (square(vy) * 0.5)) + 50.0"
12,4.1211024e-11,"((square(vy) * 0.5) + ((y * 9.809999) - 13.361003)) + 63.361004"
14,4.0291343e-11,"((((y * 9.81) + -7.0531507) + (square(vy) * 0.5)) + 47.05315) + vx"
16,3.9755834e-11,"((vx + 17.102755) + (((y * 9.81) + -7.0531507) + (square(vy) * 0.5))) + 29.950396"
21,3.9616133e-11,"(square(vx) + (((y * 4.143365) + (-50.042343 + (y * 5.666635))) + (square(vy) * (vx + -9.5)))) + 0.04234244"
25,3.9311998e-11,"square(vx) + (((((y * (vx * 0.9484461)) + -52.65533) + (y + (y * -0.67446095))) + ((vx + -9.5) * square(vy))) + 2.6553307)"
