Complexity,Loss,Equation
1,2941.1755,"136.25513"
3,2499.0837,"vy * 15.119148"
4,1789.22,"square(y) + 104.47634"
5,111.008835,"(x + vy) * 11.061455"
7,69.9387,"((vy + x) + -1.5815281) * 12.472091"
8,0.5166235,"(square(vy + x) + 99.77116) * 0.49612278"
10,4.408648e-11,"((y * 9.81) + (square(vy) * 0.5)) + 50.0"
12,4.118774e-11,"(((y * 9.809999) + -12.194255) + (square(vy) * 0.5)) + 62.194256"
17,3.961759e-11,"((((y + -2.2060776) * 9.81) + ((square(vy) * -0.5) + square(vy))) + 61.64162) + vx"
19,3.936584e-11,"(vx + 0.32734856) + ((((y + -2.2060776) * 9.81) + ((square(vy) * -0.5) + square(vy))) + 61.314274)"
23,3.9358565e-11,"(((square(vy) + (square(vy) * -0.5)) + ((y + -2.2060776) * 9.81)) + 61.314274) + ((vx + vy) + (0.32734856 - vy))"
