Complexity,Loss,Equation
1,304.84152,"-42.34105"
3,102.519806,"vy * -4.8982954"
5,11.622641,"(vy * -3.3521442) + -17.019737"
7,1.0222311,"((vy + 2.6687505) * -3.6574821) - x"
9,0.066377975,"((vy + 1.806657) * -3.780733) - (x * 1.403704)"
10,0.022171313,"(square((x * 0.097690105) + 1.4066883) + vy) * -3.7783134"
12,0.022166489,"((square((x * 0.097690105) + 1.4066883) + vy) * -3.7783134) + 0.001998423"
13,0.01924348,"(((x * -0.029288583) - 1.1137159) * x) + ((vy + 1.931201) * -3.7811463)"
14,0.019243436,"((x * -1.113715) + ((vy + 1.9312036) * -3.781146)) + (square(x) * -0.029288862)"
15,0.019243384,"(x * ((x * -0.029288406) - 1.1137195)) + (((vy + 1.9288859) * -3.7811472) - 0.008732607)"
16,0.019243374,"(((vy + vy) + 3.8624284) * -1.8905718) + ((square(x) * -0.029289069) - (x * 1.1137074))"
17,0.016468031,"((vy + 1.871839) * -3.794838) + (((y + (x * (-6.613552 - x))) * 0.026549568) - x)"
19,0.0142475115,"(x * ((y * -0.024836538) - 1.4963181)) + ((((vy + 3.384216) + vy) * -1.9236797) + (y * 0.2983597))"
22,0.013520932,"(((square(x) * -0.0011681938) + -1.9234086) * (vy + (vy + 3.4131534))) + (((x * vy) * 0.028764775) - (x * 1.4215481))"
24,0.013204202,"((((square(x) * -0.0012543485) + -1.9225836) * (((vy + vy) + 4.2480173) + ((vy * x) * -0.0149411075))) + 1.5690598) - (x * 1.4065688)"
26,0.012998596,"(((((vy + 5.8322134) + vy) * ((square(x) * -0.001076684) + -1.4215114)) + ((x * (vy * 0.026781198)) - vy)) + 1.6756083) - (x * 1.3965596)"
27,0.011806563,"(((square(x) * -0.017353693) - (x * 1.2396657)) + (((vy + vy) + 3.7711174) * -1.8825744)) + (square((vy * (0.21309887 * x)) - vy) * -0.0029644717)"
29,0.0085434215,"((((vy + (vy + 3.7324681)) * -1.8862313) - (x * 1.2431707)) + (square(vy - ((x * (vy - 2.4006548)) * 0.2929142)) * -0.002803945)) + (square(x) * -0.016599147)"
