Complexity,Loss,Equation
1,304.84152,"-42.34104"
3,102.519806,"vy * -4.898197"
5,11.622641,"(-5.077091 - vy) * 3.3521843"
7,1.0222311,"-9.760885 - ((vy * 3.657463) + x)"
9,0.06637799,"((x * -1.4036944) - (vy * 3.7807283)) + -6.830573"
10,0.022059638,"(vy * -3.7792702) - square((x * 0.19044687) + 2.730181)"
12,0.019254316,"((vy + -0.8163436) * -3.7807631) - square((x * 0.17204396) + 3.2250445)"
14,0.019248608,"(3.2494626 - square((x + 3.2494626) + (x * -0.8288023))) - (vy * 3.7808747)"
16,0.019245468,"((3.2504911 - square(((x * -0.82956016) + 3.2402012) + x)) - (vy * 3.7513576)) * 1.0078979"
18,0.015232933,"(vy * (-3.748289 + (-0.0021551275 * vy))) - (square(((x * -0.8351862) + 3.4404738) + x) + -4.496434)"
19,0.015232932,"(vy * -3.748289) + ((square(vy) * -0.0021551275) - (square((x + (-0.8351862 * x)) + 3.4404738) + -4.496434))"
21,0.015232763,"(square(vy - 0.03581249) * -0.0021659648) + ((vy * -3.7482762) - (square((x + (x * -0.83518964)) + 3.4404967) + -4.496427))"
23,0.015124997,"(vy * -3.760982) + ((square((0.34126592 * x) - vy) * -0.0016957228) - (-4.4975595 + square(((x * -0.83432436) + x) + 3.4326022)))"
25,0.015122531,"(square(((x + 0.14643346) * 0.34126592) - vy) * -0.0016957228) + ((vy * -3.760982) - (square(((x * -0.83432436) + x) + 3.4326022) + -4.4975595))"
26,0.013393355,"(((square(square(x)) * 9.451892e-5) + (-2.780983 - (vy * 3.8067074))) - (square(((x * -0.7946574) + 2.7367475) + x) + -3.2165256)) - (y * -0.05153298)"
28,0.012922769,"(((-2.788062 - (square((x * -0.79790556) + (2.7426076 + x)) + -3.2156081)) - (vy * 3.8053432)) + (square(x * square(x)) * 8.0144287e-7)) - (y * -0.04789861)"
30,0.012904932,"((((square(square(x + -0.89136416) * x) * 1.137153e-6) + -2.7832563) - (y * -0.047466174)) - (square((x + (x * -0.7984717)) + 2.7452788) + -3.2143517)) - (vy * 3.8046663)"
