Complexity,Loss,Equation
1,9.680386,"-5.560958"
4,5.8313165,"cos(theta) * -7.1690955"
6,4.747372,"square(theta * omega) + -7.1209836"
7,3.685125,"(cos(theta) * -7.1662817) - cos(omega)"
8,3.225805,"square(cos(theta)) * (square(omega) - 12.5985)"
9,2.4128185e-13,"((square(omega) * 0.0509684) - cos(theta)) * 9.81"
11,1.855199e-13,"((3.2615162e-8 + (square(omega) * 0.050968397)) - cos(theta)) * 9.81"
13,1.8084616e-13,"(((0.08477282 - cos(theta)) + (square(omega) * 0.050968397)) * 9.81) + -0.83162117"
14,1.5668211e-13,"((square(omega) * 0.5) - (cos(theta) * 1.9477721)) - (cos(theta) * 7.862228)"
16,1.4972732e-13,"((square(omega) * 0.5) - (cos(theta + 4.9721518e-8) * 1.9477721)) - (cos(theta) * 7.862228)"
18,1.4793555e-13,"((cos(theta + 4.9721518e-8) * -1.951903) + ((square(omega) * 0.5) + 3.361794e-8)) - (cos(theta) * 7.858097)"
20,1.4693475e-13,"((((0.5 * square(omega)) + 3.361794e-8) - (1.951903 * cos(theta + 4.9721518e-8))) + 3.361794e-8) - (cos(theta) * 7.858097)"
22,1.4641925e-13,"((((square(omega) * 0.5) + 3.2713714e-8) - (cos(theta + 4.9721518e-8) * 1.951903)) - -4.3663334e-8) - (cos(theta + -2.8886653e-8) * 7.858097)"
