Complexity,Loss,Equation
1,304.84152,"-42.34104"
3,102.519806,"vy * -4.898223"
5,11.622641,"(vy * -3.3521826) - 17.019445"
7,1.0222311,"((vy + 2.6687295) * -3.6574817) - x"
9,0.066377945,"(x * -1.4037145) - (6.830395 - (vy * -3.7807384))"
11,0.06637784,"(x * -1.4036945) - ((7.060277 - (vy * -3.7807279)) + -0.2296973)"
12,0.025859637,"(square(x) * -0.03977192) - (x + (7.5429826 - (vy * -3.7782655)))"
13,0.019243432,"(x * ((x * -0.029286882) - 1.1137373)) - (7.30209 - (vy * -3.7811482))"
14,0.01924343,"(-1.1136528 * x) - (7.3023877 - ((vy * -3.781136) + (square(x) * -0.029293468)))"
15,0.019243365,"(x * ((x * -0.02928944) - 1.1137034)) - ((7.3157163 - (vy * -3.7811463)) - 0.013522469)"
18,0.019243259,"(square(x) * -1.0292897) + (((x * (x - 1.1137041)) - (7.1620083 - (vy * -3.7811465))) + -0.14016405)"
19,0.016627513,"(x * (((y - vy) * -0.019280143) - 1.3338829)) + ((((vy * -2.8133056) - 7.071677) - vy) + 0.13057044)"
20,0.013658999,"((0.33925587 * y) - (3.8484294 * ((x + vy) - -1.6686751))) + ((x * 2.264798) - (0.017351884 * square(y)))"
22,0.013658969,"(0.3391901 * y) + (((x * 2.264774) - ((((x + vy) - -1.5848475) * 3.8484614) - (square(y) * -0.017346412))) + -0.32201606)"
23,0.007996914,"((y * 0.24808614) + (2.414371 * x)) - ((3.8325002 * ((x + vy) - -1.7485263)) - ((square(y) + square(x)) * -0.012331853))"
25,0.007798293,"(((y * 0.222454) + (x * 2.447058)) - (((x + vy) - -1.7652518) * 3.82855)) - ((square(y * 0.85135233) + square(x)) * 0.01493286)"
27,0.007693465,"(((y * 0.1573717) + (x * 2.470646)) - ((x + (vy - -1.7625877)) * 3.8265362)) - (((y * square(y * 0.17693007)) + square(x)) * 0.01673129)"
28,0.007424395,"((y * -0.5023914) + ((((x * 2.2584257) - (((vy - -1.4310392) + x) * 3.9870436)) + y) - (square(y) * 0.021123536))) - ((vy * vy) * -0.0053834645)"
30,0.007424388,"(((y - ((square(y) * 0.0211306) - ((vy * vy) * 0.0053897193))) + (x * 2.258388)) - (((vy - -1.4573702) + x) * 3.9872296)) + ((y * -0.5021428) - -0.106346376)"
