Complexity,Loss,Equation
1,352.9612,"-46.548515"
3,206.88252,"-38.931564 - vy"
5,53.275875,"(vy * -4.0958915) - vx"
7,1.8493699,"((vy * -3.6488242) - vx) - x"
9,1.1424174,"((vy * -3.5898917) - vx) - (x * 1.1317971)"
11,0.2597875,"(((vy * -3.752881) - (x * 1.3173693)) - vx) - -2.7148154"
13,0.12710486,"(((vy * -3.778713) - (x * 1.3788874)) - (vx * 0.89844733)) - -2.02016"
15,0.12710468,"((((vy * -3.778715) - (vx * 0.8984505)) - -0.07821928) + 1.9420118) - (x * 1.378889)"
17,0.12028826,"(((vy + -0.636566) * -3.7815557) - (x * 1.4612206)) - (vx * ((x * -0.0052653584) + 0.92335016))"
18,0.09623963,"(((vy * -3.7167366) - (x * 1.3868973)) - (vx * (0.86635447 - (square(vy) * -0.00033596583)))) + 1.5540295"
20,0.09621938,"(((vy * -3.7167366) - (1.3868973 * x)) - (vx * (0.86635447 - (square(vy + 0.030566873) * -0.00033596583)))) + 1.5540295"
21,0.064474754,"(((vy * -3.7094593) + (((vy * (x - vx)) * 0.011413988) - (vx * 0.79690075))) - (x * 1.476025)) + 1.4914296"
22,0.06172708,"((vy * -3.7509887) + ((vy * (square(x - vx) * -0.0005458494)) + ((1.9150901 - vx) * 0.8131705))) - (x * 1.4575609)"
24,0.059905652,"((1.516761 - (vx * 0.8043461)) - (x * 1.4668268)) + (((vy * -0.0003911495) * square((x + -4.7399917) - vx)) + (vy * -3.7275646))"
26,0.0598282,"((vx * -0.8031319) - (x * 1.4681373)) + ((((square((x + -5.9891405) - vx) * -0.00036271158) * vy) - -1.3418576) + ((vy * -3.7209263) + 0.16953926))"
28,0.05100739,"(((square(x + (-2.1700952 - (vx - (y + -5.2520757)))) * (vy * -0.0002960544)) + ((vy * -3.7540886) - (vx * 0.81532294))) + 1.7299701) - (x * 1.4726532)"
