Complexity,Loss,Equation
1,10.786668,"2.010597"
2,8.36788,"square(omega)"
4,0.8004021,"square(omega) * 0.5765474"
6,0.41062173,"(square(omega) * 0.6613684) + -0.8327299"
7,0.2503127,"(square(omega) * 0.51380813) - cos(omega)"
8,0.23300408,"square(omega * 0.8151168) - cos(square(theta))"
9,0.19590938,"(square(omega) * 0.5454985) - (cos(omega) + 0.3111027)"
10,0.10533286,"((cos(theta) - square(omega)) * -0.56201845) - cos(omega)"
11,0.0658903,"((square(omega) - cos(square(theta))) * 0.564415) - cos(omega)"
12,0.0325222,"(square(omega) * 0.5750172) - (cos(theta * -1.6334766) + cos(omega))"
13,0.019461222,"((square(omega) * 0.5595271) - (cos(square(theta)) + cos(omega))) - -0.41386932"
14,0.014667238,"((square(omega) * 0.55924606) - (cos(omega) + cos(theta * 1.4184527))) - -0.23851053"
15,0.009765922,"(((omega * (omega * 0.560629)) - cos(omega)) + -0.73983634) - (square(theta) * -0.7721405)"
16,0.009765919,"((((omega * 0.5606272) * omega) - cos(omega)) - ((theta * theta) * -0.77213246)) + -0.73982924"
17,0.009556878,"(((omega * (omega * 0.5606852)) - cos(omega + 0.020639751)) - (square(theta) * -0.7719732)) + -0.7396647"
19,0.009473899,"(omega * (omega * 0.5604037)) - ((cos(omega) + 0.73908055) - (square(theta + (omega * -0.008897795)) * 0.7705581))"
20,0.0024245908,"(omega * (omega * 0.390283)) - (cos((cos(omega * 0.65168417) - 1.9472136) - square(theta * 0.54267305)) * 2.8596992)"
22,0.0020309368,"(((omega * omega) * 0.3886694) + (cos(square(theta * 0.4996738) - (cos(omega * -0.5912069) - 2.212906)) * -3.3678248)) - 0.53625774"
24,0.0019305245,"((omega * (0.39492866 * omega)) - 0.40231586) + (-3.1354022 * cos((cos((omega - -0.012612826) * -0.612443) - 2.1409655) - square(theta * -0.51794165)))"
25,0.0017466805,"((omega * omega) * 0.39108083) - (cos((cos(omega * -0.66029876) - 1.9384726) - ((0.30988848 * cos(omega * 0.24668707)) * square(theta))) * 2.8643959)"
26,0.001555126,"(cos(square(theta * 0.49873206) - (cos(omega * -0.58914304) - 2.227827)) * -3.379743) + (((omega * 0.39034456) * (omega - (theta * 0.044997897))) + -0.58118564)"
28,0.0015350129,"(cos((cos(omega * -0.5891802) - 2.2278063) - square(theta * 0.4987474)) * -3.3797557) + ((omega * (((omega * 0.39030483) - -0.0021635885) - (theta * 0.01756586))) + -0.5811296)"
30,0.0015350124,"(((((omega * 0.39030483) - -0.0021635876) * omega) + (cos(square(theta * 0.4987474) - (cos(omega * -0.5891801) - 2.2278063)) * -3.3797557)) - ((theta * 0.017565861) * omega)) + -0.5811296"
