Complexity,Loss,Equation
1,10.786668,"2.0102155"
2,8.36788,"square(omega)"
4,0.8004021,"square(omega) * 0.5765474"
6,0.41062173,"(square(omega) * 0.6613677) + -0.83272225"
7,0.2503127,"(square(omega) * 0.51380825) - cos(omega)"
8,0.19379598,"(cos(omega * 0.5397152) * -6.643556) - -5.371244"
10,0.10533286,"((square(omega) - cos(theta)) * 0.56202084) - cos(omega)"
11,0.0658903,"((square(omega) - cos(square(theta))) * 0.5644191) - cos(omega)"
12,0.024101196,"-0.63394886 + ((0.5593159 * (square(theta) + square(omega))) - cos(omega))"
13,0.015331565,"((square(omega) * 0.563531) + cos(square(theta) + -2.4730039)) - cos(omega)"
14,0.009765922,"((square(theta * 0.87871987) + (square(omega) * 0.5606269)) - cos(omega)) + -0.7398211"
16,0.00955688,"(((square(omega) + square(theta * -1.1733766)) * 0.56068665) - cos(omega - -0.020640977)) + -0.7396713"
18,0.009000975,"(cos(cos(cos(cos(omega)))) * (-0.9132736 + square(theta))) + ((square(omega) * 0.5545431) - cos(omega))"
19,0.0058870222,"(cos(1.2654871 - cos(omega)) * -1.2397364) + (square(0.8774154 * theta) + ((0.5540679 * square(omega)) + -0.42626628))"
20,0.005210959,"((square(omega) + ((square(theta * 1.305788) + -1.5781785) * cos(cos(omega) + -0.27399564))) * 0.5439283) - cos(omega)"
21,0.003015508,"(((cos(cos(cos(omega) + 1.1827615)) * (square(theta * 1.2787464) + -1.5281795)) + square(omega)) * 0.54874146) - cos(omega)"
23,0.0028797553,"((((square(theta * 1.2787464) + -1.5281795) * cos(cos(cos(omega) + 1.1827615))) + square(omega)) * 0.54874146) - cos(omega + 0.009509654)"
24,0.0023369933,"((square(omega) + (cos((cos(omega) + -0.44171187) * 0.7711785) * (square(theta * 1.2570404) + -1.5464506))) * 0.5539176) - (cos(omega) * 0.9252392)"
26,0.0017459701,"((square(omega) + (cos((cos(omega) * 0.63749194) + -0.37795308) * (square(theta * 1.244196) + -2.3893733))) * 0.55177385) - ((cos(omega) * 0.8412491) + -0.42012352)"
29,0.0011741658,"(((cos(square((omega * 0.23281856) * theta) + (cos(omega) + -0.94536924)) * -1.367937) - cos(omega)) + ((square(omega) + (square(theta) * 1.5269556)) + -0.66015583)) * 0.55841935"
